1,0.14 ,-0.01 ,-0.98
2,0.14 ,-0.01 ,-0.94
3,0.14 ,-0.01 ,-0.88
4,0.14 ,-0.02 ,-0.82
5,0.14 ,-0.02 ,-0.77
6,0.14 ,-0.02 ,-0.71
7,0.13 ,-0.02 ,-0.65
8,0.13 ,-0.02 ,-0.60
9,0.12 ,-0.02 ,-0.55
10,0.11 ,-0.02 ,-0.50
11,0.10 ,-0.02 ,-0.45
12,0.10 ,-0.02 ,-0.41
13,0.09 ,-0.02 ,-0.37
14,0.08 ,-0.01 ,-0.33
15,0.08 ,-0.01 ,-0.30
16,0.07 ,-0.01 ,-0.27
17,0.07 ,-0.01 ,-0.25
18,0.06 ,-0.01 ,-0.22
19,0.05 ,-0.01 ,-0.20
20,0.05 ,-0.01 ,-0.18
21,0.04 ,-0.01 ,-0.16
22,0.03 ,-0.01 ,-0.14
23,0.02 ,-0.01 ,-0.12
24,0.02 ,-0.01 ,-0.10
25,0.01 ,-0.01 ,-0.08
26,0.01 ,-0.01 ,-0.07
27,0.00 ,-0.01 ,-0.05
28,-0.00 ,-0.01 ,-0.04
29,-0.01 ,-0.01 ,-0.03
30,-0.01 ,-0.00 ,-0.02
31,-0.01 ,-0.00 ,-0.00
32,-0.01 ,-0.00 ,0.01
33,-0.01 ,-0.00 ,0.02
34,-0.01 ,-0.00 ,0.03
35,-0.00 ,-0.01 ,0.03
36,0.00 ,-0.01 ,0.04
37,0.01 ,-0.01 ,0.04
38,0.02 ,-0.01 ,0.04
39,0.03 ,-0.02 ,0.03
40,0.04 ,-0.02 ,0.03
41,0.05 ,-0.01 ,0.03
42,0.05 ,-0.01 ,0.03
43,0.06 ,-0.00 ,0.02
44,0.06 ,0.01 ,0.02
45,0.07 ,0.02 ,0.01
46,0.07 ,0.03 ,0.01
47,0.07 ,0.05 ,0.01
48,0.07 ,0.06 ,0.00
49,0.07 ,0.07 ,-0.00
50,0.08 ,0.09 ,0.00
51,0.08 ,0.10 ,0.01
52,0.08 ,0.11 ,0.02
53,0.08 ,0.11 ,0.03
54,0.09 ,0.12 ,0.04
55,0.10 ,0.12 ,0.05
56,0.11 ,0.12 ,0.05
57,0.11 ,0.11 ,0.06
58,0.11 ,0.11 ,0.07
59,0.11 ,0.11 ,0.07
60,0.11 ,0.10 ,0.07
61,0.12 ,0.10 ,0.07
62,0.12 ,0.09 ,0.06
63,0.12 ,0.09 ,0.06
64,0.13 ,0.08 ,0.06
65,0.13 ,0.07 ,0.06
66,0.13 ,0.07 ,0.06
67,0.13 ,0.06 ,0.06
68,0.13 ,0.06 ,0.06
69,0.14 ,0.06 ,0.06
70,0.14 ,0.05 ,0.05
71,0.14 ,0.05 ,0.05
72,0.14 ,0.05 ,0.05
73,0.14 ,0.05 ,0.05
74,0.14 ,0.04 ,0.05
75,0.14 ,0.04 ,0.04
76,0.14 ,0.04 ,0.04
77,0.14 ,0.04 ,0.04
78,0.14 ,0.04 ,0.04
79,0.14 ,0.04 ,0.03
80,0.14 ,0.04 ,0.03
81,0.14 ,0.03 ,0.03
82,0.14 ,0.03 ,0.02
83,0.14 ,0.03 ,0.02
84,0.14 ,0.03 ,0.02
85,0.14 ,0.03 ,0.01
86,0.14 ,0.03 ,0.01
87,0.14 ,0.03 ,-0.00
88,0.14 ,0.03 ,-0.01
89,0.14 ,0.03 ,-0.01
90,0.13 ,0.03 ,-0.01
91,0.13 ,0.04 ,-0.01
92,0.13 ,0.04 ,-0.02
93,0.13 ,0.04 ,-0.02
94,0.13 ,0.04 ,-0.02
95,0.13 ,0.05 ,-0.02
96,0.13 ,0.05 ,-0.01
97,0.13 ,0.05 ,-0.01
98,0.13 ,0.06 ,0.00
